"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0A860","2019-09-18 00:00:00","362.000","18.000","1.600","22.500","0.970","971.200","-99.000","3.500","-99.000","-99.000","-99.000","24.500","","22.200",""
"C0I480","2019-09-18 00:00:00","2165.000","308.000","0.500","13.800","0.690","787.900","-99.000","0.000","-99.000","-99.000","-99.000","22.900","","12.000",""
"CM0150","2019-09-18 00:00:00","11.000","6.000","1.400","25.700","0.750","1007.700","-99.000","0.000","-99.000","-99.000","-99.000","31.200","","25.200",""
"C0X080","2019-09-18 00:00:00","2.000","0.000","0.000","25.100","0.850","1007.900","-99.000","0.000","-99.000","-99.000","-99.000","33.700","","24.300",""
"C0C660","2019-09-18 00:00:00","176.000","55.000","2.000","24.200","0.840","991.800","-99.000","0.000","-99.000","-99.000","-99.000","26.100","","23.800",""
"C0R620","2019-09-18 00:00:00","34.000","27.000","3.300","27.400","0.790","1005.200","-99.000","1.500","8.300","19.000","","29.500","","25.200",""
"C0R700","2019-09-18 00:00:00","19.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","2.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0F0B0","2019-09-18 00:00:00","311.000","115.000","2.200","24.000","0.740","974.000","-99.000","0.000","-99.000","-99.000","-99.000","30.100","","22.100",""
"C0O970","2019-09-18 00:00:00","71.000","0.000","0.200","24.800","1.000","1000.900","-99.000","1.000","-99.000","-99.000","-99.000","32.100","","23.900",""
"C0F9P0","2019-09-18 00:00:00","26.000","43.000","3.000","25.700","0.770","1006.600","-99.000","0.000","-99.000","-99.000","-99.000","29.600","","23.900",""
"C0R560","2019-09-18 00:00:00","22.000","69.000","0.900","27.400","0.830","1006.100","-99.000","0.000","-99.000","-99.000","-99.000","31.900","","25.700",""
